date,,Landlords,Neoclouds,Server providers
2025-06-25,Landlords,1.0000000000000007,0.6644467964689833,0.715094547365935
2025-06-25,Neoclouds,0.6644467964689833,0.9999999999999998,0.6729683263141037
2025-06-25,Server providers,0.715094547365935,0.6729683263141037,0.9999999999999996
2025-06-26,Landlords,1.0000000000000004,0.6507011843390447,0.7086098991018404
2025-06-26,Neoclouds,0.6507011843390447,0.9999999999999999,0.6717742254250884
2025-06-26,Server providers,0.7086098991018404,0.6717742254250884,0.9999999999999997
2025-06-27,Landlords,1.0000000000000004,0.6680110593797242,0.7088123324303552
2025-06-27,Neoclouds,0.6680110593797242,0.9999999999999997,0.7178639488737701
2025-06-27,Server providers,0.7088123324303552,0.7178639488737701,0.9999999999999997
2025-06-30,Landlords,1.0000000000000004,0.6502220222898556,0.7121271137463303
2025-06-30,Neoclouds,0.6502220222898556,0.9999999999999997,0.7148407946729765
2025-06-30,Server providers,0.7121271137463303,0.7148407946729765,0.9999999999999999
2025-07-01,Landlords,1.0000000000000002,0.6326040297666446,0.7566551527324292
2025-07-01,Neoclouds,0.6326040297666446,0.9999999999999999,0.6910225817975372
2025-07-01,Server providers,0.7566551527324292,0.6910225817975372,0.9999999999999998
2025-07-02,Landlords,1.0000000000000004,0.5556354756684332,0.7219894876297552
2025-07-02,Neoclouds,0.5556354756684332,0.9999999999999998,0.6668239733194922
2025-07-02,Server providers,0.7219894876297552,0.6668239733194922,0.9999999999999997
2025-07-03,Landlords,1.0000000000000004,0.5553899553842878,0.7424533099372251
2025-07-03,Neoclouds,0.5553899553842878,0.9999999999999997,0.6704040359045964
2025-07-03,Server providers,0.7424533099372251,0.6704040359045964,0.9999999999999996
2025-07-07,Landlords,1.0000000000000002,0.5281743571669602,0.7276187530423563
2025-07-07,Neoclouds,0.5281743571669602,0.9999999999999997,0.6501775875529124
2025-07-07,Server providers,0.7276187530423563,0.6501775875529124,0.9999999999999994
2025-07-08,Landlords,1.0000000000000002,0.45567964527196964,0.5645768672237557
2025-07-08,Neoclouds,0.45567964527196964,0.9999999999999998,0.6406636319952363
2025-07-08,Server providers,0.5645768672237557,0.6406636319952363,0.9999999999999988
2025-07-09,Landlords,1.0000000000000002,0.40095659416951784,0.5148258983921887
