ticker,date,primary_close,secondary_close,difference,source
ELMT,2026-09-18,22.979999542236328,22.98,-4.5776367230132564e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-09-17,21.96999931335449,21.97,-6.866455102283453e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-09-16,19.84000015258789,19.84,1.5258789076710855e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-09-15,19.56999969482422,19.57,-3.051757815342171e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-09-14,21.5,21.5,0.0,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-09-11,16.190000534057617,16.19,5.340576159085231e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-09-10,15.920000076293944,15.92,7.629394360719743e-08,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-09-09,16.459999084472656,16.46,-9.155273446026513e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-09-08,16.93000030517578,16.93,3.051757815342171e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-09-04,16.780000686645508,16.78,6.866455066756316e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-09-03,16.3700008392334,16.37,8.392333974427402e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-09-02,15.859999656677246,15.86,-3.433227533378158e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-09-01,15.760000228881836,15.76,2.2888183615066282e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-08-31,16.40999984741211,16.41,-1.5258789076710855e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-08-28,16.639999389648438,16.64,-6.103515630684342e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-08-27,18.06999969482422,18.07,-3.051757815342171e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-08-26,17.959999084472656,17.96,-9.155273446026513e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-08-25,17.75,17.75,0.0,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-08-24,17.65999984741211,17.66,-1.5258789076710855e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-08-21,19.88999938964844,19.89,-6.103515595157205e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-08-20,16.670000076293945,16.67,7.629394360719743e-08,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-08-19,17.190000534057617,17.19,5.340576159085231e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-08-18,17.979999542236328,17.98,-4.5776367230132564e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-08-17,19.100000381469727,19.1,3.8146972514141453e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-08-14,18.81999969482422,18.82,-3.051757815342171e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-08-13,17.149999618530273,17.15,-3.8146972514141453e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-08-12,16.93000030517578,16.93,3.051757815342171e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-08-11,16.510000228881836,16.51,2.2888183437430598e-07,https://stockanalysis.com/stocks/elmt/history/
ELMT,2026-08-10,16.479999542236328,16.48,-4.5776367230132564e-07,https://stockanalysis.com/stocks/elmt/history/
