task,ticker,expanded,reduced,n,observed_mean_loss_reduction,bootstrap_se,detectable_loss_reduction,benchmark_mean_loss,detectable_in_benchmark_units,note
market_relative_return,ATI,zero,historical_mean,44,-0.0008262042220066557,0.0005268531438992069,0.0014760239800643625,0.01593164190091839,0.09264732343621634,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
market_relative_return,ATI,core_ridge,historical_mean,44,0.0,0.0,0.0,0.01593164190091839,0.0,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
market_relative_return,ATI,ridge_full,historical_mean,44,0.0,0.0,0.0,0.01593164190091839,0.0,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
market_relative_return,ATI,boost_full,historical_mean,44,0.0,0.0,0.0,0.01593164190091839,0.0,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
market_relative_return,CRS,zero,historical_mean,44,-0.0010219130806100986,0.00042585417470697044,0.001193066760930746,0.01871117717494038,0.06376225021954277,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
market_relative_return,CRS,core_ridge,historical_mean,44,-0.001630574722580818,0.0012463284087446927,0.003491695246853389,0.01871117717494038,0.18661013223314285,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
market_relative_return,CRS,ridge_full,historical_mean,44,-0.0008372859081446971,0.001229243416974738,0.003443830186459102,0.01871117717494038,0.18405203233666,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
market_relative_return,CRS,boost_full,historical_mean,44,-0.000483325734246791,0.00047433890846272365,0.001328900874325007,0.01871117717494038,0.07102176746553314,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
market_relative_return,ENTG,zero,historical_mean,44,0.00010198963668496732,0.00043115543862375327,0.0012079187035573204,0.01849664460063224,0.06530474740894529,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
market_relative_return,ENTG,core_ridge,historical_mean,44,-0.0012020846988279167,0.0010840775992474387,0.0030371357773390185,0.01849664460063224,0.16419928278425186,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
market_relative_return,ENTG,ridge_full,historical_mean,44,-0.0008845759030451529,0.0004926860523068229,0.0013803019613132278,0.01849664460063224,0.07462445168385011,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
market_relative_return,ENTG,boost_full,historical_mean,44,0.0,0.0,0.0,0.01849664460063224,0.0,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
market_relative_return,MTRN,zero,historical_mean,44,-4.789770559193308e-05,0.00025715528632938773,0.0007204424489400205,0.014876493166438094,0.048428244538529064,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
market_relative_return,MTRN,core_ridge,historical_mean,44,-0.0003675971246884095,0.0006228990064838208,0.0017451046489423262,0.014876493166438094,0.11730618428806497,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
market_relative_return,MTRN,ridge_full,historical_mean,44,-0.0005989952396173929,0.000599682426869303,0.0016800614226791504,0.014876493166438094,0.11293396930866945,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
market_relative_return,MTRN,boost_full,historical_mean,44,-0.0002713541795171,0.0003868621358523474,0.0010838272412515475,0.014876493166438094,0.07285502229091873,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,ATI,A1_market,historical_mean,44,-0.00027528621566840264,0.00017058645477030312,0.0004779124900947777,0.019035466148890068,0.025106424311161096,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,ATI,ridge_full,without_valuation,44,0.0003794450469713016,0.0002788457529063811,0.0007812101394760986,0.019035466148890068,0.04103971677739291,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,ATI,arimax,arma_static,44,0.0005568608025726128,0.0006470190505866356,0.001812679007961005,0.019035466148890068,0.09522640495287792,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,ATI,core_pe_difference,core_pe_level,44,0.0,0.0,0.0,0.019035466148890068,0.0,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,ATI,distributed_all_lag1,core_ridge,44,-0.000744399333707206,0.0007468665162943363,0.002092410191953741,0.019035466148890068,0.10992166808984326,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,ATI,P1_financial,historical_mean,44,0.0,0.0,0.0,0.019035466148890068,0.0,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,ATI,zero,historical_mean,44,-0.00211375297549784,0.0009183064262627922,0.0025727137095159854,0.019035466148890068,0.13515370148505645,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,ATI,ar1,historical_mean,44,0.00015591956480811306,0.00017827543506687224,0.0004994538236360076,0.019035466148890068,0.026238066340452084,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,ATI,core_ols,historical_mean,44,0.0005926154113796316,0.0009157720500183138,0.002565613438492318,0.019035466148890068,0.13478069927076178,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,ATI,core_ridge,historical_mean,44,0.0005651362500748597,0.0009039554261249036,0.002532508159664539,0.019035466148890068,0.13304156251577828,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,ATI,core_financial_changes,historical_mean,44,0.0,0.0,0.0,0.019035466148890068,0.0,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,ATI,ridge_full,historical_mean,44,0.00027524497068784874,0.00033930811521792783,0.0009506005999803186,0.019035466148890068,0.04993839355154152,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,ATI,lasso_full,historical_mean,44,-0.00040101045940468637,0.0005743182008896683,0.0016090013821057289,0.019035466148890068,0.08452650276702299,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,ATI,elastic_full,historical_mean,44,-0.0005967018298344076,0.0007610652699873946,0.00213218921041584,0.019035466148890068,0.11201139986478163,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,ATI,forest_full,historical_mean,44,-0.000205243019520547,0.0009648893272178078,0.0027032196762483774,0.019035466148890068,0.1420096390130167,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,ATI,boost_full,historical_mean,44,-0.0005604477118265018,0.0004811422421016904,0.001347960993281827,0.019035466148890068,0.07081313285098746,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,ATI,pooled_boost,historical_mean,44,-0.0002692521459417303,0.0002128596362507132,0.0005963444104529014,0.019035466148890068,0.03132806970885099,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,ATI,arimax,historical_mean,44,0.0011494807858291164,0.0009639439162638676,0.0027005710268947765,0.019035466148890068,0.14187049614502048,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,ATI,core_ridge_financial_ext,historical_mean,44,-0.00044501180195236735,0.00046508040771914093,0.0013029623954998978,0.019035466148890068,0.06844919821287758,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,CRS,A1_market,historical_mean,44,0.00013559849869078093,0.0005125184671423072,0.0014358641615558048,0.021196229082876276,0.06774149099548048,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,CRS,ridge_full,without_valuation,44,-0.00019724531054389786,0.00021438282155785625,0.0006006117438938402,0.021196229082876276,0.028335782819928775,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,CRS,arimax,arma_static,44,-2.0882689235840595e-05,0.0002305164405964063,0.0006458114525069081,0.021196229082876276,0.030468223851601865,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,CRS,core_pe_difference,core_pe_level,44,0.00018185247904949856,0.0001926120731278631,0.0005396191369051154,0.021196229082876276,0.025458261221617744,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,CRS,distributed_all_lag1,core_ridge,44,-6.613354156445417e-05,0.0007650014837599943,0.002143216848736488,0.021196229082876276,0.10111311971372876,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,CRS,P1_financial,historical_mean,44,0.0,0.0,0.0,0.021196229082876276,0.0,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,CRS,zero,historical_mean,44,-0.002624540818963111,0.0007378938627827543,0.0020672725385084433,0.021196229082876276,0.09753020362374379,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,CRS,ar1,historical_mean,44,0.0005426481425587025,0.0006391121345136475,0.0017905271087700618,0.021196229082876276,0.08447385154072376,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,CRS,core_ols,historical_mean,44,-0.0014852718527921548,0.001704161047645011,0.0047743524003661724,0.021196229082876276,0.22524536707442985,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,CRS,core_ridge,historical_mean,44,-0.0020625098399346038,0.0014904914717881407,0.004175738875085097,0.021196229082876276,0.1970038566179933,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,CRS,core_financial_changes,historical_mean,44,8.197230613248971e-05,0.0006119586954927333,0.0017144544353881368,0.021196229082876276,0.08088487950779825,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,CRS,ridge_full,historical_mean,44,-0.0007723665763572624,0.000857603163386802,0.002402648345551385,0.021196229082876276,0.11335263155333626,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
return,CRS,lasso_full,historical_mean,44,-0.002571737999405595,0.0021168202103710025,0.005930452210778184,0.021196229082876276,0.279788078699772,"80% power, two-sided 5%, normal approximation with the bootstrap SE taken as known. For returns the last column is OOS R-squared points relative to the historical mean."
