date,event,evidence,return_1d,excess_spy_1d,return_3d,excess_spy_3d,return_5d,excess_spy_5d,next_day
2007-02-12,Large historical move; specific catalyst unverified,unverified,0.33322693929818814,0.33663092517472004,0.44037002129979386,0.42876829714444065,0.4515305822171769,0.4390945574812777,0.04927075715024287
2020-03-16,Pandemic market selloff; macro association,context,-0.15865889044323866,-0.049235174176310736,-0.2932946087060304,-0.18442788789135534,-0.18690603630334712,-0.04144872085443441,0.04298718729601947
2022-11-02,Q3 2022 earnings,company earnings,-0.21513392740821802,-0.19003782558906468,-0.16076825868313405,-0.13952091069378048,-0.11222346349710921,-0.10566980718097085,0.035152901751235976
2023-02-16,FY2022 earnings and 2023 outlook,company earnings,0.2412275145319811,0.2549962661873715,0.21381012945595534,0.24977825043418278,0.2236940565898231,0.2558697830545291,0.017543867073970043
2024-02-15,FY2023 earnings and 2024 outlook,company earnings,0.10489533323558198,0.09799553670659988,0.05682821718681064,0.060458494645220684,0.06406954054191294,0.046158237419655634,0.0015276408606792469
2025-07-30,Q2 2025 earnings; China and tariff uncertainty,company earnings,0.10373678691907284,0.10499607012778611,0.14132087432418272,0.16263510205275955,0.17923107907458924,0.1907068098016449,0.036315461464201615
2025-10-29,Q3 2025 earnings date listed on IR calendar,company event,-0.13272093093458448,-0.13320132713304322,-0.1438494631721553,-0.13657213421811965,-0.16722676757096944,-0.15002301645786453,-0.005253110718041354
2026-02-12,FY2025 earnings; $65m defense customer investment,company earnings,0.012029802952069124,0.0274787114042101,-0.024186818374269392,-0.011021270467745481,-0.038965851189636136,-0.02815584668176363,0.0042765999477194505
2026-04-29,Q1 2026 results; improved outlook,company earnings,-0.026737347149878632,-0.026582712746464843,0.061710380480686666,0.04912069209573011,0.11078521125334384,0.09381154271675585,0.06531819367132385
2026-07-28,Large decline; specific catalyst unverified,unverified,-0.13282608977024102,-0.1352208564677927,-0.13940118868242002,-0.14291895500842555,-0.11616079633577459,-0.14129976184822002,-0.09709108406815325
2026-07-29,Second consecutive large decline; catalyst unverified,unverified,-0.09709108406815325,-0.08170363906505085,0.005436347582883139,-0.0028919044760755686,0.08297574339233704,0.04184785492220078,0.09913388562716574
2026-07-30,Rebound; company-specific catalyst unverified,unverified,0.09913388562716574,0.08236814193379005,0.12881589588274545,0.09014351993229663,0.5690292163313553,0.5137418280871127,0.013118026140091832
2026-08-05,Record Q2 2026; raised outlook,company earnings,0.3081460756872234,0.3101426381633512,0.2771905282260978,0.27468834020970867,0.2364596791835869,0.237457920758524,-0.06334982738650097
2026-09-16,FOMC raises rates 25bp; coincidence does not establish causality,macro event,0.03687156333968189,0.04128144382446419,0.05031736790853869,0.04214268535821297,,,0.008698818748124282
