,hpe_gross_margin,hpe_gm_yoy_change_pp,micron_gm_change_pp
2017Q4,0.28446703153505337,,29.612646813470576
2018Q1,0.3042313872522764,,21.42640562444113
2018Q2,0.30654301906233905,,13.700702855622582
2018Q3,0.3015353637050088,,10.330251760843412
2018Q4,0.3106050575930094,2.613802605795601,3.2431072449118137
2019Q1,0.32237762237762235,1.8146235125345966,-9.004215947628863
2019Q2,0.3393376749341832,3.279465587184416,-22.395799682610402
2019Q3,0.3316701316701317,3.0134767965122933,-32.38604182683418
2019Q4,0.3283925744711469,1.778751687813751,-31.766539067255312
2020Q1,0.3185222166749875,-0.3855405702634873,-20.836298179078277
2020Q2,0.3032570422535211,-3.6080632680662084,-5.758772928397981
2020Q3,0.3060488346281909,-2.5621297041940827,5.503188583487723
2020Q4,0.3348456022244988,0.6453027753351881,3.5158103134153516
2021Q1,0.34134328358208954,2.282106690710206,-1.8035880881826616
2021Q2,0.34536755110917794,4.211050885565681,9.698020130207412
2021Q3,0.32893663312483,2.2887798496639133,13.132685699724977
2021Q4,0.336733227984485,0.18876257599862445,16.3059798633307
2022Q1,0.3237002830329212,-1.7643000549168342,20.76971347233164
2022Q2,0.3446986045173356,-0.06689465918423565,4.572553398201751
2022Q3,0.32943717443780973,0.05005413129797187,-7.810519221408602
2022Q4,0.3403764886669228,0.364326068243781,-24.51653501381068
2023Q1,0.36024666571059805,3.6546382677676847,-79.8693232432225
2023Q2,0.35846900885461297,1.3770404337277387,-64.4944188371463
2023Q3,0.34811590259828595,1.8678728160476221,-50.31799922142558
2023Q4,0.36373056994818653,2.3354081281263706,-22.60104911966459
2024Q1,0.3298167684619656,-3.042989724863243,51.18316264361146
2024Q2,0.31634241245136185,-4.2126596403251115,44.70150349412824
2024Q3,0.30811066445968316,-4.00052381386028,46.16400933150993
2024Q4,0.29220779220779225,-7.152277774039428,39.18357401371966
2025Q1,0.2843844237577029,-4.543234470426272,18.266955748523177
2025Q2,0.2924693520140105,-2.387306043735138,10.818709042341574
2025Q3,0.3348486413885732,2.6737976928890017,9.350243040212119
2025Q4,0.3591011719169982,6.689337970920595,17.600402205454174
2026Q1,0.36523693575575955,8.085251199805665,37.6195024600746
2026Q2,0.4011299435028248,10.866059148881435,46.8455706115273
