,hpe_revenue_yoy,capex_yoy,juniper
2016Q4,,0.3640189953543864,0.0
2017Q1,,0.04525301888996536,0.0
2017Q2,,,0.0
2017Q3,,0.35711772722959534,0.0
2017Q4,0.10602676714894876,,0.0
2018Q1,0.09252883440840343,0.7256245965699271,0.0
2018Q2,0.03446132031926474,0.5976061541521624,0.0
2018Q3,0.03665667363990721,0.7192347886351236,0.0
2018Q4,-0.015893156493449467,0.5618527507618505,0.0
2019Q1,-0.04351486897355983,-0.10624687558472878,0.0
2019Q2,-0.07305831121662898,0.07269464210044374,0.0
2019Q3,-0.09650646516657346,0.16008504462087414,0.0
2019Q4,-0.08334707099912109,0.005906446889689665,0.0
2020Q1,-0.17385401135412515,0.3286475617191562,0.0
2020Q2,-0.0571665645631203,0.17950623961912138,0.0
2020Q3,-0.0009706719197968283,0.3084843757604445,0.0
2020Q4,-0.016833948533548693,0.4282096110808076,0.0
2021Q1,0.10884918104512842,0.3046658234791719,0.0
2021Q2,0.01181374492213827,0.3951055841273656,0.0
2021Q3,0.02005286257304384,0.2812992499223981,0.0
2021Q4,0.01855932638788893,0.23323886174967434,0.0
2022Q1,0.0019384185596944548,0.27445265585345924,0.0
2022Q2,0.007798999669194728,0.19555887061781485,0.0
2022Q3,0.06794073628123165,0.19431096156338556,0.0
2022Q4,0.11495377249400818,0.10580299000286653,0.0
2023Q1,0.03799960328225893,-0.0017766120590079204,0.0
2023Q2,0.007310288414124955,-0.0837087283275273,0.0
2023Q3,-0.06834876076836238,-0.0698967779393227,0.0
2023Q4,-0.14499394326837667,0.054150531567097815,0.0
2024Q1,0.03259087907483682,0.2290461056694757,0.0
2024Q2,0.0963223650427647,0.45426470628436055,0.0
2024Q3,0.14027638065834758,0.4691440298706784,0.0
2024Q4,0.15073998474365702,0.5502831216459283,0.0
2025Q1,0.05705815586839158,0.5258418741566673,0.0
2025Q2,0.1697044653384161,0.5589840905744792,1.0
2025Q3,0.1348458511166548,0.5477201578689321,1.0
2025Q4,0.16909896510451183,0.5378459091656937,1.0
2026Q1,0.33649096689589264,0.6461316482990282,1.0
2026Q2,0.2902783052752973,0.6234263719495914,1.0
